Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1748479742,100,,Aggregated,2.600000,0.600000,140,360,480,30000,30000,30000,30000,30000,30000,30000,30000,184,41,140.0,6821.0595237610305,17.191999999340624,30014.546541991876,47.40760869565217
1748479743,100,,Aggregated,2.600000,0.600000,140,360,480,30000,30000,30000,30000,30000,30000,30000,30000,184,41,140.0,6821.0595237610305,17.191999999340624,30014.546541991876,47.40760869565217
1748479744,100,,Aggregated,2.600000,0.600000,140,360,480,30000,30000,30000,30000,30000,30000,30000,30000,184,41,140.0,6821.0595237610305,17.191999999340624,30014.546541991876,47.40760869565217
1748479745,100,,Aggregated,2.600000,0.600000,140,360,480,30000,30000,30000,30000,30000,30000,30000,30000,184,41,140.0,6821.0595237610305,17.191999999340624,30014.546541991876,47.40760869565217
1748479746,100,,Aggregated,2.600000,0.600000,140,360,480,30000,30000,30000,30000,30000,30000,30000,30000,184,41,140.0,6821.0595237610305,17.191999999340624,30014.546541991876,47.40760869565217
1748479747,100,,Aggregated,2.600000,0.600000,140,360,480,30000,30000,30000,30000,30000,30000,30000,30000,184,41,140.0,6821.0595237610305,17.191999999340624,30014.546541991876,47.40760869565217
1748479748,100,,Aggregated,0.300000,0.000000,190,360,480,30000,30000,30000,30000,30000,30000,30000,30000,186,43,140.0,7070.351555989336,17.191999999340624,30014.546541991876,46.89784946236559
1748479749,100,,Aggregated,0.100000,0.000000,140,360,480,30000,30000,30000,30000,30000,30000,30000,30000,188,43,140.0,6996.29686922352,17.191999999340624,30014.546541991876,47.047872340425535
1748479750,100,,Aggregated,0.000000,0.000000,190,410,480,30000,30000,30000,30000,30000,30000,30000,30000,190,45,140.0,7238.510253936923,17.191999999340624,30014.546541991876,46.55263157894737
1748479751,100,,Aggregated,0.000000,0.000000,190,410,480,30000,30000,30000,30000,30000,30000,30000,30000,190,45,140.0,7238.510253936923,17.191999999340624,30014.546541991876,46.55263157894737
1748479752,100,,Aggregated,0.500000,0.300000,140,360,480,30000,30000,30000,30000,30000,30000,30000,30000,193,45,140.0,7127.187117865313,17.191999999340624,30014.546541991876,46.77720207253886
1748479753,100,,Aggregated,0.600000,0.400000,140,410,490,30000,30000,30000,30000,30000,30000,30000,30000,197,48,140.0,7439.786735812183,17.191999999340624,30014.546541991876,46.13705583756345
1748479754,100,,Aggregated,0.600000,0.400000,140,410,490,30000,30000,30000,30000,30000,30000,30000,30000,199,49,140.0,7516.256486577855,17.191999999340624,30014.546541991876,45.97989949748744
1748479755,100,,Aggregated,0.900000,0.400000,190,410,30000,30000,30000,30000,30000,30000,30000,30000,30000,202,51,140.0,7702.004378277256,17.191999999340624,30014.546541991876,45.5990099009901
1748479756,100,,Aggregated,1.300000,0.700000,140,410,490,30000,30000,30000,30000,30000,30000,30000,30000,205,51,140.0,7590.492420102521,17.191999999340624,30014.546541991876,45.82439024390244
1748479757,100,,Aggregated,1.300000,0.700000,140,410,490,30000,30000,30000,30000,30000,30000,30000,30000,205,51,140.0,7590.492420102521,17.191999999340624,30014.546541991876,45.82439024390244
1748479758,100,,Aggregated,1.800000,1.000000,140,410,490,30000,30000,30000,30000,30000,30000,30000,30000,207,51,140.0,7517.543772328589,17.191999999340624,30014.546541991876,45.971014492753625
1748479759,100,,Aggregated,2.100000,1.000000,140,410,490,30000,30000,30000,30000,30000,30000,30000,30000,208,51,130.0,7481.493323903963,17.191999999340624,30014.546541991876,46.04326923076923
1748479760,100,,Aggregated,2.100000,1.000000,140,410,490,30000,30000,30000,30000,30000,30000,30000,30000,208,51,130.0,7481.493323903963,17.191999999340624,30014.546541991876,46.04326923076923
1748479761,100,,Aggregated,2.100000,0.800000,140,360,490,30000,30000,30000,30000,30000,30000,30000,30000,210,51,130.0,7411.536685104892,17.191999999340624,30014.546541991876,46.18571428571428
1748479762,100,,Aggregated,2.100000,0.800000,140,360,490,30000,30000,30000,30000,30000,30000,30000,30000,210,51,130.0,7411.536685104892,17.191999999340624,30014.546541991876,46.18571428571428
1748479763,100,,Aggregated,1.800000,0.600000,130,360,490,30000,30000,30000,30000,30000,30000,30000,30000,213,52,130.0,7448.20157745077,17.191999999340624,30014.546541991876,46.10798122065728
1748479764,100,,Aggregated,1.800000,0.600000,130,360,490,30000,30000,30000,30000,30000,30000,30000,30000,213,52,130.0,7448.20157745077,17.191999999340624,30014.546541991876,46.10798122065728
1748479765,100,,Aggregated,1.700000,0.600000,130,360,490,30000,30000,30000,30000,30000,30000,30000,30000,215,52,130.0,7379.414065874474,17.191999999340624,30014.546541991876,46.246511627906976
1748479766,100,,Aggregated,1.700000,0.600000,130,360,490,30000,30000,30000,30000,30000,30000,30000,30000,215,52,130.0,7379.414065874474,17.191999999340624,30014.546541991876,46.246511627906976
1748479767,100,,Aggregated,1.400000,0.300000,130,360,490,30000,30000,30000,30000,30000,30000,30000,30000,216,53,130.0,7484.1536081992135,17.191999999340624,30014.546541991876,46.032407407407405
1748479768,100,,Aggregated,1.300000,0.100000,130,360,490,30000,30000,30000,30000,30000,30000,30000,30000,218,53,130.0,7416.140872692885,17.191999999340624,30014.546541991876,46.169724770642205
1748479769,100,,Aggregated,1.000000,0.100000,130,360,490,30000,30000,30000,30000,30000,30000,30000,30000,219,53,130.0,7382.504125370098,17.191999999340624,30014.546541991876,46.23744292237443
1748479770,100,,Aggregated,1.000000,0.100000,130,360,490,30000,30000,30000,30000,30000,30000,30000,30000,219,53,130.0,7382.504125370098,17.191999999340624,30014.546541991876,46.23744292237443
1748479771,100,,Aggregated,1.000000,0.100000,130,360,490,30000,30000,30000,30000,30000,30000,30000,30000,219,53,130.0,7382.504125370098,17.191999999340624,30014.546541991876,46.23744292237443
1748479772,100,,Aggregated,1.000000,0.100000,130,360,490,30000,30000,30000,30000,30000,30000,30000,30000,219,53,130.0,7382.504125370098,17.191999999340624,30014.546541991876,46.23744292237443
1748479773,100,,Aggregated,1.000000,0.100000,130,360,490,30000,30000,30000,30000,30000,30000,30000,30000,219,53,130.0,7382.504125370098,17.191999999340624,30014.546541991876,46.23744292237443
1748479775,100,,Aggregated,1.000000,0.100000,130,360,490,30000,30000,30000,30000,30000,30000,30000,30000,219,53,130.0,7382.504125370098,17.191999999340624,30014.546541991876,46.23744292237443
1748479776,100,,Aggregated,1.000000,0.100000,130,360,490,30000,30000,30000,30000,30000,30000,30000,30000,219,53,130.0,7382.504125370098,17.191999999340624,30014.546541991876,46.23744292237443
1748479777,100,,Aggregated,1.000000,0.100000,130,360,490,30000,30000,30000,30000,30000,30000,30000,30000,219,53,130.0,7382.504125370098,17.191999999340624,30014.546541991876,46.23744292237443
1748479778,100,,Aggregated,1.000000,0.100000,130,360,490,30000,30000,30000,30000,30000,30000,30000,30000,219,53,130.0,7382.504125370098,17.191999999340624,30014.546541991876,46.23744292237443
1748479779,100,,Aggregated,1.000000,0.100000,130,360,490,30000,30000,30000,30000,30000,30000,30000,30000,219,53,130.0,7382.504125370098,17.191999999340624,30014.546541991876,46.23744292237443
1748479780,100,,Aggregated,1.000000,0.100000,130,360,490,30000,30000,30000,30000,30000,30000,30000,30000,219,53,130.0,7382.504125370098,17.191999999340624,30014.546541991876,46.23744292237443
1748479781,100,,Aggregated,1.000000,0.100000,130,360,490,30000,30000,30000,30000,30000,30000,30000,30000,219,53,130.0,7382.504125370098,17.191999999340624,30014.546541991876,46.23744292237443
1748479782,100,,Aggregated,1.000000,0.100000,130,360,490,30000,30000,30000,30000,30000,30000,30000,30000,219,53,130.0,7382.504125370098,17.191999999340624,30014.546541991876,46.23744292237443
1748479783,100,,Aggregated,0.000000,0.000000,130,360,490,30000,30000,30000,30000,30000,30000,30000,30000,220,54,130.0,7485.3214094593895,17.191999999340624,30014.546541991876,46.027272727272724
